id,date,text
12342448,2019-12-09 16:14:38,"Четверо подбились на КАДе перед съездом на Софийскую. Пробка нехилая .(В середине видео - скорость переключаю, если что😄)"
12342427,2019-12-09 16:09:28,"На проспекте Авиаконструкторов , въехал в припаркованные автомобили.  В машине виновного говорят находился ребёнок.  В каблучке сидел мужчина, кого то ждал.Все службы вызваны, вроде все целы."
12342361,2019-12-09 15:37:59,"ДТП на внешнем кольце, в левом ряду, перед съездом на пр. Обуховской обороны"
12342125,2019-12-09 14:32:44,"Горит газель на Большеохтинском мосту, пожарные в момент съемки только подъезжают"
12341924,2019-12-09 13:43:21,"Дтп на Типанова и Космонавтов.
Служб нет. Намечается пробка"
12341739,2019-12-09 13:00:09,"Оформи полис КАСКО прямо сейчас👉🏻 

https://guidehins.ru/bezubutochnuy-perehod/"
12341216,2019-12-09 11:25:29,"На Октябрьской наб. рядом с Зольной, ГАИ с эвакуатором устраняют последствия аварии."
12341205,2019-12-09 11:24:31,Авария в 5-м Предпортовом сильно мешает проезду к кольцевой.
12341152,2019-12-09 11:18:58,"1. Эвакуировали 384 лицей. (в 14:30 всех запустили назад) 
2. Эвакуировали гимназию 405
3. В 14:00 эвакуировали 98 школу
4. Эвакуировали гимназию 399
5. Эвакуировали гимназию 41
6. 295 гимназию эвакуируют.

Эвакуировали учащихся из школы № 553 Фрунзенского района на улице Ярослава Гашека, 4, корп. 4"
12341070,2019-12-09 11:08:55,"Свердловская набережная встала. Грохот был слышен из квартиры. 
Минимум 6 участников ДТП, сломан забор, у фургона  нет больше задницы. По одной полосе в каждую сторону свободно."
12340978,2019-12-09 10:55:47,"На Старообрядческой 4Д авария на все полосы, объезд по тротуару и въезду во двор."
12340970,2019-12-09 10:54:50,На Октябрьской набережная притерлись 3 машины. На фото видно автобус и газель.
12340964,2019-12-09 10:53:36,"Так получилось, что на пересечении Стачек и улицы Зайцева столкнулись Сузуки и Хёндэ."
12340751,2019-12-09 10:25:06,"СКК горит, несколько расчетов уже на месте и едут ещё . 
А вчера был небольшой пикет возле, против сноса"
12340718,2019-12-09 10:18:42,Массовое ДТП на Индустриальном
12340711,2019-12-09 10:17:34,"На улице Ивана Черных водитель Яндекс такси заезжает на тротуар, избегая ДТП с фурой, я её объезжаю справа , а инспектор ГИБДД смотрит в завтрашний день."
12340647,2019-12-09 10:00:30,Рио и БМВ не поделили перекресток Дальневосточного и Новосёлов
12340566,2019-12-09 09:41:17,Паровозик на Дальневосточном проспекте
12340451,2019-12-09 09:02:42,"Невский центр эвакуирован, говорят заминировано."
12340337,2019-12-09 08:22:41,"Акция ""К каждому заказу ролл ""Филадельфия"" в подарок"" продлена до 15 декабря."
12340227,2019-12-09 07:50:24,"Таксист вылетел  на встречку на проспекте Народного Ополчения .
Вроде все целы, стоят курят."
12340118,2019-12-09 07:30:52,Не прошло и недели и опять в городскую многопрофильную больницу номер 2 поступил вызов о заминировании
12339934,2019-12-09 06:53:04,"Пр. Косыгина, напротив ТЦ Зебра, такси всадил в автобус. Пробка, скорость минимальная, но все-же подъехали 2 скорых экипажа.
Движение и без того постоянно затруднено, теперь пробка ещё больше..
Ещё и пожарка подъехала."
12339932,2019-12-09 06:52:01,"А теперь к дтп. Вляпались по утру Перекресток Ланского шоссе и Омской улицы. Служб нет. Возможно быстро договорятся и разъедутся, а возможно и не договорятся и не разъедутся"
12339857,2019-12-09 06:38:23,"Начнём утро не с кофе: 9:22 Октябрьский и Петродворцовый районные суды эвакуируются.
9:32 Выборгский районный суд эвакуируется.
9:36 Сестрорецкий районный суд эвакуируется.
Невский районный суд эвакуируется.
9:40 Приморский районный суд эвакуируется."
12339631,2019-12-09 05:17:53,"Напротив метро Лесная в сторону Кантемировской на светофоре перед остановкой что-то не поделили троллейбус с маршруткой, средний крайний левый (для транспорта) линии занята пока проезду не мешают, службы на месте"
12339628,2019-12-09 05:16:04,Авария на пересечения Заневского и Новочеркасского. Грузовичок и белый седан.
12339394,2019-12-09 00:42:42,"На 23-м километре дороги ""Выборг-Светогорск"" влетел в яму, порвал одно колесо и погнул два диска( яма с острыми краями прямо по середине дороги."
